TikTok Link,Transcript,Available
https://www.tiktok.com/@partisane.ivoirienne/video/7559868052746079490,"Share in everyone Share in everyone Share in everyone Share in everyone Share
in everyone Share in everyone Share in everyone Share in everyone Share in
everyone Share in everyone Share in everyone Share in everyone Share
Share all in
Share in everyone Share in everyone Share in everyone Share in everyone Share
in everyone Share in everyone Share in everyone Share in everyone Share in
everyone Share in everyone Share in everyone Share in everyone Share",yes
https://www.tiktok.com/@lesexplicationsdedevincy/video/7560030217310326072,"Here is what to remember this Saturday in Ivory Coast.
We start with the 1st news in
Abidjan,deux-cent-trente-sept arrest despite the prefectural ban,
1 march of the opposition tried to be held
this Saturday result in front of 1 huge crowd,
Lassan Watara promised the construction of a highway.
Yamsokro da Loa comes to booze.
He defends 1 infrastructure and electrification
assessment and promises to do even more for The Local Development
Autotrophy.
Some ivoryan in the mere condition,
The Lasanian V Peru is a functional
Kalilou Sila,
appointed head of the Department of
Economic Affairs and Agriculture at the CDAO,
an expert in regional integration,
he succeeds Massanger Touré and wants to
strengthen food security and regional trade.",yes
https://www.tiktok.com/@exprience.winner/video/7562532109055773963,No transcript available,no
https://www.tiktok.com/@awa.oumarou7/video/7507765723729546502,No transcript available,no
https://www.tiktok.com/@sooleeee0/video/7537039023194246456,No transcript available,no
https://www.tiktok.com/@luxor_best_immobilier/video/7561811895053782274,No transcript available,no
https://www.tiktok.com/@princeadams0251/video/7561227413967949078,"And now the Ivorians can come forward.
Here's Pepe driving into the area.
The pass into. Guess on just behind him.
The shot comes in and you just gonna just flex over the line.
No, it isn't.
Cleared off the line by the defender.
The ball still alive for the Ivorians. And then the chip shot
flies harmlessly wide.
First opportunity there for the elephants.
Pepe, who drove into the area.
The pass across just behind Gessel. Diallo
one on one, cuts inside.
Yala. Yala plays the ball across goal.
Lovely first touch there. And there's the opener.
And it's the captain, Frank Kessie.
Well, Amatiello making the run down the right,
cutting inside. Finding just the right pass there
as Kessie arrived at pace from midfield,
timing his run to perfection.
You can just see the run from Keshi.
And that first touch just takes him past the entire defensive line.
And the second touch slams it into the
nicely laid off opportunity here.
Oh, lovely first touch
and a brilliant save there from Modiambo.
More direct running this time from Kone.
Conner plays the 1 2.
Gael Deulofeu
going to ground there the halfway.
Diomande drops deep now. Drops a shoulder,
goes past one old jinks past another as well.
Diomande. Oh,
skips past the fourth player now as well.
Cuts inside.
Eventually the ball goes out for a corner.
Lovely change of pace there from Yan Zhao.
And wanders into the area as well.
Pepe curls it. In the header, just wide of the upright.
Evan Endecott
stealing in there,
the Roma centre back.
Now Gesso got Diallo on the right
outside in.
The flag stays down. Guess Diallo, though,
couldn't find the cross. That will be a.
Will it be a corner? No, it won't.
It's wonderful.
Diemond again putting on the after burners,
taking past two. Your side
flag stay down here. The keeper's out of position.
It's been slammed into the side netting by Nicholas Pepe.
That really should have been 2 nil.
بابا جی سیالکوٹ
lovely ball through after the run from d m O
and he had Amad Diallo waiting there unmarked in the cross
to deflect to the feet of Gesso
and now all of a sudden they're in behind again here Pepe
drives into the area
given away midfield again by the Haringey stars and now Pepe
finds a bit of space on this near side gets
away from the attempted foul
can't find the put the ball back gets the ball back
again second bite of the cherry for the number nineteen
lays it off to Diallo
Diallo goes to the top corner and that's just over the crossbar
the half the stadium thought that one was in.
As it caught the top of the net
Aquaro Klirs
do I chip it in towards guess on guess on lays it off
oh and again Kesia this time
skipping away from the challenge plays the ball into DMM on, DMM On now
crowded out, but there's a bit of a clip that coming in from Sissoko
and this freak
left footed might fancy that top left corner. But
Kone forced backwards. Oh,
lovely turn though by Kone.
Leaves his marker behind him.
Now Diomande uses his place,
goes past one, cuts inside Diomande.
Oh, fantastic goal from beyond Diomande.
And a goal that's richly deserved for the 18 year old.
Superb in the first half. And again as soon as he gets the ball in feet.
The Kenyan defence simply can't cope.
Picking up the ball here in the inside left position,
cutting past one and cutting inside
and just letting fly into the bottom corner. Beautiful finish.
Franck Yann Diemont now having started 4 days ago against Seychelles,
getting another start here.
Diemont
finds Conan running into space,
Conan trying to get in behind,
cuts the ball back and all. That was a
interesting attempt at the goal there from Evan. Get!
And the loose ball blazed over the bar.
I am at Diallo Cutting
now. Halle played in behind Halle
or is he taken down on the edge of the area?
Yes, as a referee.
Well, on the bright side for the former Dale.
And it is Diallo. Oh, great shot!
Questions may be about the keeper,
but I'm not. Diallo won't care.
A second international goal
for the Manchester United youngster.
And that surely is the cherry on top. Now for the elephants.",yes
https://www.tiktok.com/@cotedivoire220/video/7560135650117242134,No transcript available,no
https://www.tiktok.com/@shekina.225/video/7456071023742520598,"This dispatch that comes to our attention
of the Lebanese authorities who tell us tonight,
it's official,
deux-mille-sept-cent-cinquante tons of ammonium nitrates
are at the origin of the explosions in the port,
this is what they tell us
tonight.
At least that's the official message.",yes
https://www.tiktok.com/@fedely_fed/video/7561501687433694476,No transcript available,no
https://www.tiktok.com/@toutestpossible_tes/video/7534050207223352598,"Here are three populations you don't expect to see
in Côte d'Ivoire And when do you see them?
Say eh but what are they doing here There One Chinese listen carefully
to what I'm going to tell you the first time I saw a Chinese there,
well an Asian,
but I think it was a Chinese.
It was in deux-mille-vingt-deux And I didn't see it
in abidjan where everything happens,
eh I saw it on the road between abidjan and then drinking at the level of the brand
new hospital of abyss which was at the end of construction.
It seems to me at that time I swear,
it's true And usually that's why they go there
because they build our infrastructure,
our buildings,
our roads,
all that there And then they're in business too.
As evidenced by the china malls that like to check everywhere in a can there,
but they are good because their infrastructure,
like the china mode for example,
are quality.
There's nothing to say.
Two,
the Americans have a lot of them anyway.
Well,
it's obvious those who work in the,
but generally the Americans are there for diplomatic and humanitarian missions,
or even for business,
but not for food in the water.
What are the last ones?
It's a mixed because there aren't many,
the Spanish and the Indians Well the Spanish and the Indians,
there really aren't many,
but there are And to tell you the truth,
I looked,
I didn't find what they do exactly in ivory coast So
if there are any who watch this video,
tell me a little bit what your activities are there.
I would love to know if there are any populations you
don't expect to see there that I have forgotten.
Tell me which ones in comments.",yes
https://www.tiktok.com/@full.galsen/video/7561208554082880790,"Elephants are back as a couple from the FIFA world?
to the Ivory Coast.
and
has no advice,
eh,
only to him.
Go down to the end of the hammer,
go down to the end of the jersey.
End of the hammer,
it's end of the hammer,
do you do this?
Why?",yes
https://www.tiktok.com/@realjordanevraa/video/7561192865628441887,"Ha ha! when,
the ivory coast,
he could not see in,
world cup in the united states,
canada,
Mexico,
I'll see in it.
Ciao.
Now that we're qualified,
it's now.
We tell you your real names,
all of you,
when we tell you that we are African champions,
we decide to do what we want,
whenever you want.
We win whenever we want,
we suck when we want to.
Do you think it's a game?
the same things ?
10 games,
zero goals conceded,
it's the same thing.
Uh, seriously, flaw,
the number nine,
will you keep it for me,
please?
well,
the country being qualified,
let's talk a little business.
If you need airbnb,
of car to move you
when you are coming to the world cup,
let me know in dm,
ha ha!
it's not about you,
right,
but in the list of the best runners-up,
there,
I want Nigeria to qualify,
ha ha!
Cameroon,
is the danger theory.
It's when you think that.
Ah my son,
that's it,
ha ha, ha ha!
how are the malians?
Are you okay?
there is a tiny country that gets by
in disputes with other countries.
Have you seen your place?
you can only be 1st
at the 2nd.
That's where it is.
Ha ha!
That's what you deserve,
and yet,
you have a lot to do.
There is Cameroon,
There’s Kondo,
there’s Nigeria.
Hey ! Hey !
You won't be going to the World Cup,
I'm sorry Yamatos,
the heat,
the tap tap scene application.
Use my flex promo code
two hundred and twenty-five
to send money to Africa.
And then in my comments,
there,
your country is not yet qualified for the World Cup,
ha ha!",yes
https://www.tiktok.com/@mhd.say/video/7517434850643692806,"What do you want baby You want this baby You like it baby This
is for you baby You want what baby You want this baby.",yes
https://www.tiktok.com/@ins_dnc/video/7560036783052836107,No transcript available,no
https://www.tiktok.com/@smookii_gamer/video/7535556656680275222,"It means tagging an ivory coast here because you can't be the
citizen with this beautiful nation from this beautiful country
from this beautiful ivory coast of African champions.
And then you can't bring anything to the change of your
country or to the development of your country.
It is very important so tag there here if you don't put an ivory chop there
while if it makes maybe france abidjan abidjan france uh uh uh uh ivory chop
ostrich spain germany flat because normally when we take a france like that
there we go abidjan normally the food there what he gives us is it's chocolate
it's true that you eat you eat chocolate until you become Asian it's true
that chocolate the pasta huh you don't we're not jealous but they have pasta
there spaghetti pasta uh how does it look like bread uh uh uh uh apricot uh
what do you call the food there and oh the other one there oh oh oh I forgot
the name anyway it's it's it looks like well yeah way uh beans stuff like
that stuff like that do they give us food?
So for us there no and ivory rib you have to put in
uh bread dog that's stuff that's it's bahouin.
While tourism even that is inside abroad even that is inside.
He already knows where he is going he already knows what he
is waiting for but it is not necessary pilot will eat bahouin
because if pilot has eaten bahouin has become heavy.
Don't give that to the pilots,
the pilots there you make them celebrate you.
Well get ready for food aside here's food
the pilots there except pilot hostess.
He must not eat the cavataux the alcohol the garba bah imagine if pilot ate garba
champion plane before going down to two hundred kilometers per hour on foot.
Hey because we have ten thousand to ten thousand kilometers on foot or we realize
airplane there is what no need pilot go eat garba to get on the plane there
no here is food of the pilots where they put it light to loco eh egg here is
pilot can eat that ah that at least it is addressed so airplane food in an
ivory coast where you put eh bread dog bawin seed sauce.
Well,
they're going to dirty the plane there anyway,
that's if the plane has to leave for corongo.
What did you cavato in?
That's it, that's it,
that's a good thing.
That's if the plane has to overcome maybe abidjan.
You had uh uh uh sea bass fish uh to loco but stuff like that stuff from home there
the stranger even who is inside the neighbor who is inside that is to say the guy
who is not from home who is inside he already knows where he is going he already
knows his destination he already knows what he is waiting for
That's how it is,
that is to say that it encourages people to come and visit the Ivory
Coast because since the same time,
the Minister of Tourism but then Mr.
sonou fofana but respect dad since he has the head the country is fine
people want the Minister even when you see him he gives you the desire
of himself to visit the Ivory Coast.
As long as you haven't visited you don't want to be quiet it's because they
live without visiting the ivory coast how you make alive without visiting
the ivory coast breathe even without visiting the ivory coast.
You hurt your body,
you hurt your body and this gesture when you see it gives you
the desire to visit the Ivory Coast.
Here it is and thanks to him today we have reached another level.
Frankly it's incredible.
What so my respects dad my respects for everything you still do for
the ivory coast and we say thank you again thank you once again here
is now an ivory coast here to you so it's very important like that
so put the dishes from home put the food from home.
There those who are already in in in in in in in in in in the airbus
they know where they are going they know what awaits them it is
very important but you will leave to give them pasta.
We are not Guinean uh beans all that is the
white thing les cabatos les placali.
Here is when we wake up in the morning not often the veil there is
a long time when we wake up in the morning when we wake up from sleep
when it gives cupboard the warm when it is hot if it has typed that
like that it will give him still want to come in an ivory coast or
that it is it is the ideas it is the it is the ideas.
I give you put this in place you will see you will come and thank me here.",yes
https://www.tiktok.com/@aidansimardone/video/7559803344810691847,"Your coast is a highly diverse country
with over 60 distinct ethnic groups.
Today I want to talk about the five largest
starting off with the Southern Mandate people.
Now the Southern Mandate, this is less of a distinct group
and more of a cluster of people who speak the same language
and includes groups such as the Dan and Goro people.
They make up roughly 8.5% of the population.
There's 2.5 million of them along with a large population in Liberia.
They're in the central western part of the country
and one of the groups as I mentioned,
the Goro people who are within the Mandae,
the Southern Mandae, they're known for the zauli dance
this dance has actually gone quite famous and I can see why
it's quite beautiful. For instance,
it's has gone international fame.
It's music videos
such as by the artist Mia in the recently released movie sinners
and is now actually recognized as part of the UNESCO Heritage site.
Now at number four,
we have the crew people they make up roughly 9% of the population.
There's 3 million of them and a further 200,000 in Liberia.
They're in the southwestern part of the country
and according to one colonial source,
which you know might not be the most reliable,
but according to one colonial source,
apparently there were some of the fiercest resistors to
enslavement and colonialism.
They actually used to put a tattoo on their head
to distinguish themselves as free people.
Now at No. 2 or 3 depending on how you want to split the tie
there is the Northern Monday people.
They are less of a distinct group as well.
They're a cluster of different groups.
One of the larger groups,
groups within them being at the Mandinka people.
They make up roughly 22% of the population.
There's 7 million of them
but oh my gosh, there's also so many in other countries.
There's for instance at for the 4 million in Guinea,
2 million Mali and another 1 million in Senegal
and they're in the Northwestern part of the country
and out as I mentioned, one of the Northern Mandae groups,
this is the Medina
they used to have a large empire which was called the Mali Empire,
went from the 1200s to the 1600s
and its leader
Mansa Musa is considered to be the richest person ever actually,
which I find quite fascinating,
apparently being worth almost $400 billion.
Next we have the Gor people and again this is a cluster of groups,
the largest being the Sanuafo people.
It makes up roughly 22% of the population.
There's seven million of them
and also a further one million in the country of Mali.
They're in the northeastern part of the country and as I mentioned
the Senufo
so they are actually known for their quite intricate sculptures.
These sculptures have gone famous and quite beautiful.
The only thing I do hope though
is that at least some of that money actually goes back to
The Senufo people, and it's not just hogged by Westerners,
for instance, and at number one we have the Akahn people.
They make up 38% of the population.
There's 11 million of them,
plus a further 14 million in Ghana
where they make up actually roughly half the population there.
They're in the southwestern part of the country
and they're known for the Shanti Kingdom,
which actually fiercely resisted the British,
as well as actually having quite a large influence on the Jamaican
language, Jamaican English, Patwa.
So there you go. If you're one,
what if you're part of one of these groups,
please let me know in the comments down below.
I would like to hear what you think and please share and like.
Thank you.",yes
https://www.tiktok.com/@sekouberete68/video/7504612192839372054,No transcript available,no
https://www.tiktok.com/@monsieur_freeman/video/7546373845582761272,"In the heart of Abidjan stands Tower F,
the highest tower in Africa.
Architectural jewel it symbolizes modernity,
innovation and dynamism of the Ivory Coast.
Alongside it,
the teenage bridge transforms traffic and rereads
the city with fluidity and elegance,
facilitating the daily lives of thousands of Ivorians.
Further on,
Cocodie Bay is emerging as a future iconic district combining luxury,
modernity and harmony with nature,
a true business and attraction cluster,
Tower F is not just a building,
it is a showcase of success,
a symbol of power on the African continent and an essential
landmark in the landscape of Abidjan.
All this is made possible by the vision and determination of President Alassane
Watara who is working for a future-oriented and great Ivory Coast.",yes
https://www.tiktok.com/@assouman.patricia/video/7485294656771706117,"I say they are not grateful they are not even grateful.
How to
forget?
We don't forget to step back
how much like this
I don't want to oh let's see.",yes
https://www.tiktok.com/@grce4532/video/7485506199517990149,"Uh chicken
long ago,
hey you.",yes
https://www.tiktok.com/@sokiskengne4777/video/7536543975944031494,"But what is there in Côte?
I don't understand the picture here look very
early this morning everyone is out.
What's up,
what's up in Ivory Coast.",yes
https://www.tiktok.com/@kremlin.media/video/7561301807310376214,"No more demonstrations in Ivory Coast
the country is now saved
Vladimir Putin has just seized the file of the Ivory Coast
Alexander Raman watara is screwed
Vladimir Putin in collaboration with the UN
have officially cancelled Alexandre Watara's 4th term
peace can now reign in Côte d'Ivoire
just take 1 second to subscribe and write no
in the 4th term in comments and I explain everything to you
Vladimir putin
President of Russia
in collaboration with the United Nations
has just made 1 decision
alassane Draman watara's 4th term has been officially cancelled
this decision
welcomed by 1 part of the Ivorian population
marks 1 major turning point in the political future of Côte d'Ivoire",yes
https://www.tiktok.com/@mano_tikaly_abidjan/video/7548053867062250808,No transcript available,no
https://www.tiktok.com/@featurehistory1/video/7539608133254106390,No transcript available,no
https://www.tiktok.com/@unepersonne_57/video/7549389589320846597,No transcript available,no
https://www.tiktok.com/@zoneinfluence/video/7510321934857440534,No transcript available,no
